Datapoint,TrueCost,PredictedCost,CostDifference,PredictedTour,OptimalTour
5,96.40000009536743,158.09999084472656,61.69999074935913,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(10, 1) -> (3, 2) -> (9, 3) -> (7, 4) -> (6, 5) -> (1, 6) -> (2, 7) -> (4, 8) -> (5, 9) -> (8, 10)"
35,90.60000085830688,143.10000610351562,52.50000524520874,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(10, 1) -> (5, 2) -> (9, 3) -> (3, 4) -> (8, 5) -> (7, 6) -> (2, 7) -> (4, 8) -> (1, 9) -> (6, 10)"
30,102.90000104904175,123.09999084472656,20.199989795684814,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(7, 1) -> (8, 2) -> (1, 3) -> (10, 4) -> (3, 5) -> (4, 6) -> (2, 7) -> (9, 8) -> (6, 9) -> (5, 10)"
32,111.89999961853027,166.40000915527344,54.500009536743164,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(8, 1) -> (5, 2) -> (4, 3) -> (10, 4) -> (7, 5) -> (1, 6) -> (3, 7) -> (9, 8) -> (2, 9) -> (6, 10)"
6,101.90000009536742,153.39999389648438,51.49999380111696,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(3, 1) -> (9, 2) -> (4, 3) -> (6, 4) -> (7, 5) -> (8, 6) -> (10, 7) -> (5, 8) -> (1, 9) -> (2, 10)"
45,103.90000009536742,160.09999084472656,56.199990749359145,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(5, 1) -> (10, 2) -> (1, 3) -> (3, 4) -> (6, 5) -> (9, 6) -> (8, 7) -> (4, 8) -> (2, 9) -> (7, 10)"
4,102.60000038146973,160.59999084472656,57.999990463256836,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(6, 1) -> (1, 2) -> (8, 3) -> (9, 4) -> (4, 5) -> (5, 6) -> (2, 7) -> (7, 8) -> (10, 9) -> (3, 10)"
13,94.19999790191653,153.40000915527344,59.200011253356905,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(6, 1) -> (8, 2) -> (10, 3) -> (9, 4) -> (2, 5) -> (7, 6) -> (4, 7) -> (1, 8) -> (3, 9) -> (5, 10)"
12,104.80000019073486,146.5,41.69999980926514,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(6, 1) -> (5, 2) -> (7, 3) -> (3, 4) -> (8, 5) -> (4, 6) -> (2, 7) -> (9, 8) -> (10, 9) -> (1, 10)"
28,103.79999923706052,144.1999969482422,40.39999771118167,"(2, 1) -> (8, 2) -> (10, 3) -> (5, 4) -> (1, 5) -> (3, 6) -> (9, 7) -> (7, 8) -> (6, 9) -> (4, 10)","(8, 1) -> (4, 2) -> (9, 3) -> (7, 4) -> (1, 5) -> (2, 6) -> (10, 7) -> (6, 8) -> (5, 9) -> (3, 10)"
