Difference,OptimalTour,GraphID,PredictedTour,TrueCost,PredictedCost
58.90000295639038,"(10, 1) -> (3, 2) -> (9, 3) -> (7, 4) -> (6, 5) -> (1, 6) -> (2, 7) -> (4, 8) -> (5, 9) -> (8, 10)",5,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",96.40000009536743,155.3
58.899999141693115,"(10, 1) -> (5, 2) -> (9, 3) -> (3, 4) -> (8, 5) -> (7, 6) -> (2, 7) -> (4, 8) -> (1, 9) -> (6, 10)",35,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",90.60000085830688,149.5
38.20000505447388,"(7, 1) -> (8, 2) -> (1, 3) -> (10, 4) -> (3, 5) -> (4, 6) -> (2, 7) -> (9, 8) -> (6, 9) -> (5, 10)",30,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",102.90000104904175,141.1
39.40000343322754,"(8, 1) -> (5, 2) -> (4, 3) -> (10, 4) -> (7, 5) -> (1, 6) -> (3, 7) -> (9, 8) -> (2, 9) -> (6, 10)",32,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",111.89999961853027,151.3
47.39998769760133,"(3, 1) -> (9, 2) -> (4, 3) -> (6, 4) -> (7, 5) -> (8, 6) -> (10, 7) -> (5, 8) -> (1, 9) -> (2, 10)",6,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",101.90000009536742,149.29999
37.49999380111696,"(5, 1) -> (10, 2) -> (1, 3) -> (3, 4) -> (6, 5) -> (9, 6) -> (8, 7) -> (4, 8) -> (2, 9) -> (7, 10)",45,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",103.90000009536742,141.4
45.79999351501465,"(6, 1) -> (1, 2) -> (8, 3) -> (9, 4) -> (4, 5) -> (5, 6) -> (2, 7) -> (7, 8) -> (10, 9) -> (3, 10)",4,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",102.60000038146973,148.4
48.09998989105222,"(6, 1) -> (8, 2) -> (10, 3) -> (9, 4) -> (2, 5) -> (7, 6) -> (4, 7) -> (1, 8) -> (3, 9) -> (5, 10)",13,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",94.19999790191653,142.29999
47.899996757507324,"(6, 1) -> (5, 2) -> (7, 3) -> (3, 4) -> (8, 5) -> (4, 6) -> (2, 7) -> (9, 8) -> (10, 9) -> (1, 10)",12,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",104.80000019073486,152.7
66.70000076293948,"(8, 1) -> (4, 2) -> (9, 3) -> (7, 4) -> (1, 5) -> (2, 6) -> (10, 7) -> (6, 8) -> (5, 9) -> (3, 10)",28,"(2, 1) -> (8, 2) -> (5, 3) -> (9, 4) -> (1, 5) -> (10, 6) -> (6, 7) -> (7, 8) -> (3, 9) -> (4, 10)",103.79999923706052,170.5
